Clone	CultureTube	CultureDay	DayPair	Replicate	CountDay	WTCount	EvoCount	pWT	pEvo	pH
403-2	Plastic	4	4	Rep3	1	1.47E+09	1.40E+08	0.913043478	0.086956522	8.23
403-5	Plastic	4	4	Rep3	1	5.00E+08	2.00E+07	0.961538462	0.038461538	7.21
403-1	Plastic	4	4	Rep4	1	3.20E+08	2.50E+08	0.561403509	0.438596491	8.5
403-2	Plastic	4	4	Rep4	1	1.40E+08	2.60E+08	0.35	0.65	8.75
403-5	Plastic	4	4	Rep4	1	2.90E+08	2.60E+08	0.527272727	0.472727273	8.33
403-1	Plastic	10	10	Rep3	1	1.11E+08	3.00E+07	0.787234043	0.212765957	7.09
403-2	Plastic	10	10	Rep3	1	1.00E+06	7.00E+07	0.014084507	0.985915493	8.87
403-5	Plastic	10	10	Rep3	1	1.00E+05	2.80E+07	0	1	9.07
403-1	Plastic	10	10	Rep4	1	1.00E+06	1.13E+08	0	1	8.96
403-2	Plastic	10	10	Rep4	1	1.00E+07	3.40E+07	0	1	9.08
403-5	Plastic	10	10	Rep4	1	1.00E+07	3.60E+07	0	1	9.07
403-1	Glass	0	1	Rep1	1	3.10E+06	2.40E+06	5.64E-01	4.36E-01	7
403-1	Glass	0	1	Rep2	1	3.30E+06	3.50E+06	4.85E-01	5.15E-01	7
403-1	Glass	0	1	Rep3	1	3.00E+06	2.10E+06	5.88E-01	4.12E-01	7
403-1	Glass	0	1	Rep4	1	5.70E+06	2.90E+06	6.63E-01	3.37E-01	7
403-1	Glass	0	4	Rep1	1	3.60E+06	3.20E+06	5.29E-01	4.71E-01	7
403-1	Glass	0	4	Rep2	1	3.00E+06	2.60E+06	5.36E-01	4.64E-01	7
403-1	Glass	0	4	Rep3	1	6.10E+06	4.30E+06	5.87E-01	4.13E-01	7
403-1	Glass	0	4	Rep4	1	6.30E+06	4.70E+06	5.73E-01	4.27E-01	7
403-1	Glass	0	10	Rep1	1	6.40E+06	4.20E+06	6.04E-01	3.96E-01	7
403-1	Glass	0	10	Rep2	1	5.70E+06	3.80E+06	6.00E-01	4.00E-01	7
403-1	Glass	0	10	Rep3	1	9.40E+06	4.50E+06	6.76E-01	3.24E-01	7
